director,quote,score,title
导演: 茂文·勒鲁瓦 Mervyn LeRoy,中国式内在的美国电影。,8.8,魂断蓝桥
导演: 丹尼·博伊尔 Danny Boyle,不可猜的青春迷笛。 ,8.5,猜火车
导演: 黑泽明 Akira Kurosawa,人生的N种可能性。,8.8,罗生门
导演: 保罗·格诺维瑟 Paolo Genovese,来啊，互相伤害啊！,8.5,完美陌生人
导演: 史蒂文·斯皮尔伯格 Steven Spielberg,写给影迷，动漫迷和游戏迷的一封情书。,8.7,头号玩家
导演: Alfred Hitchcock,故事的反转与反转，分裂电影的始祖。,8.9,惊魂记
导演: 王家卫 Kar Wai Wong,王家卫是一种风格，张国荣是一个代表。,8.5,阿飞正传
导演: 汤姆·提克威 Tom Tykwer,一个单凭体香达到高潮的男人。,8.5,香水
导演: 周星驰 Stephen Chow,警恶惩奸，维护世界和平这个任务就交给你了，好吗？,8.4,功夫
导演: 陆川 Chuan Lu,坚硬的信仰。,8.7,可可西里
导演: 保罗·格林格拉斯 Paul Greengrass,谁说王家卫镜头很晃？,8.6,谍影重重2
导演: 史蒂芬·戴德利 Stephen Daldry,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,8.5,朗读者
导演: 杨德昌 Edward Yang,弱者送给弱者的一刀。,8.8,牯岭街少年杀人事件
导演: 丹尼斯·甘塞尔 Dennis Gansel,世界离独裁只有五天。,8.7,浪潮
导演: 道格·里曼 Doug Liman,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,8.6,谍影重重
导演: 安德鲁·尼科尔 Andrew Niccol,做一颗让别人需要你的棋子。,8.6,战争之王
导演: 宁浩 Hao Ning,中国版《两杆大烟枪》。,8.4,疯狂的石头
导演: 阿米尔·汗 Aamir Khan,天使保护事件始末。,8.9,地球上的星星
导演: 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,黑小鸭速效美白记。,8.3,初恋这件小事
导演: 徐克 Hark Tsui,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,8.5,青蛇
导演: 詹姆斯·卡梅隆 James Cameron,少见的超越首部的续集，动作片中的经典。,8.6,终结者2：审判日
导演: 理查德·林克莱特 Richard Linklater,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,8.8,爱在午夜降临前
导演: 邓肯·琼斯 Duncan Jones,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,8.4,源代码
导演: 李惠民 Raymond Lee,嬉笑怒骂，调风动月。,8.5,新龙门客栈
导演: 是枝裕和 Hirokazu Koreeda,日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,8.8,步履不停
导演: 斯蒂芬·卓博斯基 Stephen Chbosky,世界不完美，爱会有奇迹。,8.6,奇迹男孩
导演: 卡比尔·汗 Kabir Khan,宝莱坞的萝莉与大叔。,8.5,小萝莉的猴神大叔
导演: Quentin Tarantino,昆汀同学越来越变态了，比北野武还杜琪峰。,8.5,无耻混蛋
导演: 阿斯哈·法哈蒂  Asghar Farhadi,只有有信仰的人才能说出事实真相。,8.7,一次别离
导演: 克里斯托弗·诺兰 Christopher Nolan,诺兰的牛逼来源于内心散发出的恐惧。,8.9,追随
导演: 约翰·卡尼 John Carney,爱我就给我看你的播放列表。,8.5,再次出发之纽约遇见你
导演: 延尚昊 Sang-ho Yeon,揭露人性的丧尸题材力作。,8.4,釜山行
导演: 爱德华·兹威克 Edward Zwick,每个美丽事物背后都是滴血的现实。,8.6,血钻
导演: 詹姆斯·沃德·布柯特 James Ward Byrkit,小成本大魅力。,8.5,彗星来的那一夜
导演: 朴勋政 Hoon-jung Park,要做就做得狠一点，这样才能活下去。,8.7,新世界
导演: Charles Chaplin,永远的小人物，伟大的卓别林。,9.3,城市之光
导演: 小津安二郎 Yasujirô Ozu,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,9.2,东京物语
导演: 斯坦利·库布里克 Stanley Kubrick,现代科幻电影的开山之作，最伟大导演的最伟大影片。,8.7,2001太空漫游
导演: 保罗·哈吉斯 Paul Haggis,天使与魔鬼的冲撞。,8.6,撞车
导演: Frank Darabont,天使暂时离开。,8.7,绿里奇迹
导演: 达伦·阿伦诺夫斯基 Darren Aronofsky,一场没有春天的噩梦。,8.7,梦之安魂曲
导演: 乔治·米勒 George Miller,“多么美好的一天！”轰轰轰砰咚，啪哒哒哒轰隆隆，磅~,8.6,疯狂的麦克斯4：狂暴之路
导演: 托马斯·麦卡锡 Thomas McCarthy,新闻人的理性求真。,8.8,聚焦
导演: Steven Spielberg,生病的E.T.皮肤的颜色就像柿子饼。,8.6,E.T. 外星人
导演: 雷德利·斯科特 Ridley Scott,还原真实而残酷的战争。,8.6,黑鹰坠落
导演: 理查德·沙因克曼 Richard Schenkman,科幻真正的魅力不是视觉效果能取代的。 ,8.5,这个男人来自地球
导演: 雷德利·斯科特 Ridley Scott,没有了退路，只好飞向自由。,8.7,末路狂花
导演: 罗伯·莱纳 Rob Reiner,用剩余不多的时间，去燃烧整个生命。,8.6,遗愿清单
导演: Stanley Kubrick,我完全康复了。,8.5,发条橙
导演: 吴宇森 John Woo,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,8.4,变脸
导演: 迈克尔·贝 Michael Bay,类型片的极致。 ,8.6,勇闯夺命岛
导演: 汤姆·霍珀 Tom Hooper,皇上无话儿。,8.4,国王的演讲
导演: 秋昌民 Chang-min Choo,你要相信，这世上真的有爱存在，不管在什么年纪 ,9.0,我爱你
导演: 安德鲁·尼科尔 Andrew Niccol,一部能引人思考的科幻励志片。,8.7,千钧一发
导演: Sergio Leone,最棒的西部片。,9.1,黄金三镖客
导演: 布莱恩·辛格 Bryan Singer,我不信仰上帝，但我敬畏上帝。,8.6,非常嫌疑犯
导演: 新海诚 Makoto Shinkai,青春就是放弃和怀念。,8.3,秒速5厘米
导演: 周申 Shen Zhou / 刘露 Lu Liu,过去的如果就让它过去了，未来只会越来越糟！,8.3,驴得水
导演: Chris Columbus,魔法的密室之门已打开...,8.4,哈利·波特与密室
导演: Alfonso Cuarón,,8.5,哈利·波特与阿兹卡班的囚徒
director,quote,score,title
导演: 弗兰克·德拉邦特 Frank Darabont,希望让人自由。,9.7,肖申克的救赎
导演: 陈凯歌 Kaige Chen,风华绝代。,9.6,霸王别姬
导演: 吕克·贝松 Luc Besson,怪蜀黍和小萝莉不得不说的故事。,9.4,这个杀手不太冷
导演: 罗伯特·泽米吉斯 Robert Zemeckis,一部美国近现代史。,9.5,阿甘正传
导演: 罗伯托·贝尼尼 Roberto Benigni,最美的谎言。,9.5,美丽人生
导演: 詹姆斯·卡梅隆 James Cameron,失去的才是永恒的。 ,9.4,泰坦尼克号
导演: 宫崎骏 Hayao Miyazaki,最好的宫崎骏，最好的久石让。 ,9.3,千与千寻
导演: 史蒂文·斯皮尔伯格 Steven Spielberg,拯救一个人，就是拯救整个世界。,9.5,辛德勒的名单
